food-category	food-section	food-activity	food-species
A-0:CS:NA	A-0	CS	NA
A-0:RW:NA	A-0	RW	NA
A-0:WM:NA	A-0	WM	NA
A-I:CP:NA	A-I	CP	NA
A-I:SH:11	A-I	SH	11
A-I:SH:12	A-I	SH	12
A-I:SH:13	A-I	SH	13
A-I:SH:14	A-I	SH	14
A-I:SH:15	A-I	SH	15
A-I:SH:16	A-I	SH	16
A-I:SH:17	A-I	SH	17
A-I:SH:18	A-I	SH	18
A-I:SH:19	A-I	SH	19
A-I:SH:20	A-I	SH	20
A-I:SH:21	A-I	SH	21
A-I:SH:22	A-I	SH	22
A-I:SH:23	A-I	SH	23
A-II:CP:NA	A-II	CP	NA
A-II:SH:11	A-II	SH	11
A-II:SH:12	A-II	SH	12
A-II:SH:13	A-II	SH	13
A-II:SH:14	A-II	SH	14
A-II:SH:15	A-II	SH	15
A-II:SH:16	A-II	SH	16
A-II:SH:17	A-II	SH	17
A-II:SH:18	A-II	SH	18
A-II:SH:19	A-II	SH	19
A-II:SH:20	A-II	SH	20
A-II:SH:21	A-II	SH	21
A-II:SH:22	A-II	SH	22
A-II:SH:23	A-II	SH	23
A-IV:CP:NA	A-IV	CP	NA
A-IV:GHE:NA	A-IV	GHE	NA
A-IX:CC:NA	A-IX	CC	NA
A-IX:PP:NA	A-IX	PP	NA
A-V:MM:NA	A-V	MM	NA
A-V:MP:NA	A-V	MP	NA
A-V:MSM:NA	A-V	MSM	NA
A-VI:PP:NA	A-VI	PP	NA
A-VII:DC:NA	A-VII	DC	NA
A-VII:PC:NA	A-VII	PC	NA
A-VIII:AH:NA	A-VIII	AH	NA
A-VIII:FFPP:NA	A-VIII	FFPP	NA
A-VIII:FV:NA	A-VIII	FV	NA
A-VIII:PP:NA	A-VIII	PP	NA
A-VIII:WM:NA	A-VIII	WM	NA
A-VIII:ZV:NA	A-VIII	ZV	NA
A-X:EPC:NA	A-X	EPC	NA
A-X:LEP:NA	A-X	LEP	NA
A-X:PP:NA	A-X	PP	NA
A-XI:PP:NA	A-XI	PP	NA
A-XII:PP:NA	A-XII	PP	NA
A-XIII:PP:NA	A-XIII	PP	NA
A-XIV:PP:NA	A-XIV	PP	NA
A-XV:PP:NA	A-XV	PP	NA
B-I:PdP:NA	B-I	PdP	NA
